datetime,open,high,low,close,volume
2025-03-04 09:15:00+05:30,21974.45,22016.7,21964.6,21969.0,0
2025-03-04 09:18:00+05:30,21969.55,22006.7,21965.85,21999.05,0
2025-03-04 09:21:00+05:30,22000.9,22037.35,21985.3,22037.05,0
2025-03-04 09:24:00+05:30,22036.15,22049.65,21996.65,21999.15,0
2025-03-04 09:27:00+05:30,21997.45,22008.85,21989.15,22001.6,0
2025-03-04 09:30:00+05:30,21999.5,22016.9,21991.6,22011.55,0
2025-03-04 09:33:00+05:30,22010.7,22029.55,22007.05,22015.05,0
2025-03-04 09:36:00+05:30,22015.85,22046.6,22012.55,22038.15,0
2025-03-04 09:39:00+05:30,22036.95,22058.3,22036.8,22055.65,0
2025-03-04 09:42:00+05:30,22056.2,22069.35,22041.4,22041.4,0
2025-03-04 09:45:00+05:30,22039.2,22048.0,22013.6,22043.05,0
2025-03-04 09:48:00+05:30,22043.5,22063.45,22041.85,22063.15,0
2025-03-04 09:51:00+05:30,22062.75,22066.1,22046.3,22053.95,0
2025-03-04 09:54:00+05:30,22052.9,22071.7,22050.5,22064.1,0
2025-03-04 09:57:00+05:30,22063.8,22066.35,22047.8,22058.6,0
2025-03-04 10:00:00+05:30,22059.4,22091.05,22055.8,22087.15,0
2025-03-04 10:03:00+05:30,22087.3,22089.05,22065.7,22066.25,0
2025-03-04 10:06:00+05:30,22065.75,22069.1,22052.0,22052.0,0
2025-03-04 10:09:00+05:30,22052.15,22053.4,22036.9,22041.0,0
2025-03-04 10:12:00+05:30,22040.45,22050.25,22032.1,22049.95,0
2025-03-04 10:15:00+05:30,22049.25,22064.65,22049.25,22059.95,0
2025-03-04 10:18:00+05:30,22061.0,22072.6,22059.85,22071.45,0
2025-03-04 10:21:00+05:30,22071.65,22076.85,22067.65,22072.35,0
2025-03-04 10:24:00+05:30,22072.15,22076.5,22055.35,22056.3,0
2025-03-04 10:27:00+05:30,22055.75,22064.15,22051.35,22059.5,0
2025-03-04 10:30:00+05:30,22059.1,22060.75,22048.15,22057.5,0
2025-03-04 10:33:00+05:30,22057.85,22077.2,22057.4,22069.4,0
2025-03-04 10:36:00+05:30,22069.25,22076.05,22065.85,22066.45,0
2025-03-04 10:39:00+05:30,22066.65,22069.85,22055.15,22056.0,0
2025-03-04 10:42:00+05:30,22056.2,22058.65,22048.6,22052.65,0
2025-03-04 10:45:00+05:30,22052.9,22076.0,22051.3,22071.8,0
2025-03-04 10:48:00+05:30,22072.75,22074.1,22065.05,22072.05,0
2025-03-04 10:51:00+05:30,22071.95,22080.0,22066.55,22074.35,0
2025-03-04 10:54:00+05:30,22074.7,22080.4,22071.65,22076.8,0
2025-03-04 10:57:00+05:30,22077.55,22089.4,22073.1,22082.3,0
2025-03-04 11:00:00+05:30,22082.65,22083.55,22072.4,22082.05,0
2025-03-04 11:03:00+05:30,22082.35,22095.9,22081.65,22093.4,0
2025-03-04 11:06:00+05:30,22093.65,22104.25,22083.35,22086.5,0
2025-03-04 11:09:00+05:30,22085.8,22086.1,22077.85,22084.85,0
2025-03-04 11:12:00+05:30,22085.1,22091.0,22080.9,22083.7,0
2025-03-04 11:15:00+05:30,22083.1,22086.2,22072.5,22074.25,0
2025-03-04 11:18:00+05:30,22073.7,22077.85,22063.2,22077.85,0
2025-03-04 11:21:00+05:30,22077.65,22079.0,22070.2,22070.4,0
2025-03-04 11:24:00+05:30,22070.65,22076.85,22067.2,22072.6,0
2025-03-04 11:27:00+05:30,22072.7,22076.35,22067.8,22069.5,0
2025-03-04 11:30:00+05:30,22069.8,22076.1,22068.35,22073.6,0
2025-03-04 11:33:00+05:30,22073.75,22083.4,22072.7,22079.25,0
2025-03-04 11:36:00+05:30,22079.8,22086.35,22078.5,22081.3,0
2025-03-04 11:39:00+05:30,22081.15,22081.35,22070.1,22073.05,0
2025-03-04 11:42:00+05:30,22072.5,22074.7,22069.0,22070.2,0
2025-03-04 11:45:00+05:30,22069.4,22069.45,22050.35,22050.85,0
2025-03-04 11:48:00+05:30,22050.05,22061.7,22048.8,22061.7,0
2025-03-04 11:51:00+05:30,22062.25,22067.9,22054.85,22067.75,0
2025-03-04 11:54:00+05:30,22067.85,22072.5,22064.0,22072.5,0
2025-03-04 11:57:00+05:30,22072.65,22073.35,22068.45,22072.1,0
2025-03-04 12:00:00+05:30,22072.25,22074.5,22057.9,22059.0,0
2025-03-04 12:03:00+05:30,22059.1,22064.15,22055.5,22057.65,0
2025-03-04 12:06:00+05:30,22057.7,22057.85,22047.95,22049.85,0
2025-03-04 12:09:00+05:30,22051.05,22061.5,22049.25,22060.7,0
2025-03-04 12:12:00+05:30,22060.45,22062.35,22055.55,22058.0,0
2025-03-04 12:15:00+05:30,22058.2,22061.65,22049.65,22060.05,0
2025-03-04 12:18:00+05:30,22059.6,22073.35,22058.15,22073.15,0
2025-03-04 12:21:00+05:30,22073.85,22074.75,22066.6,22067.2,0
2025-03-04 12:24:00+05:30,22067.45,22071.65,22061.45,22069.65,0
2025-03-04 12:27:00+05:30,22069.4,22075.35,22067.1,22068.65,0
