datetime,open,high,low,close,volume,sma_10,sma_20,sma_50,ema_9,ema_11,ema_14,ema_16,ema_21,ema_50,rsi_14,atr,bbl_20_2.0,bbm_20_2.0,bbu_20_2.0,bbb_20_2.0,bbp_20_2.0,macd_12_26_9,macdh_12_26_9,macds_12_26_9,volume_sma,supert_10_3.0,supertd_10_3.0,supertl_10_3.0,superts_10_3.0,adx_14,dmp_14,dmn_14,stochk_14_3_3,stochd_14_3_3,cci_20_0.015,obv_obv,vwma_20,isa_9,isb_26,its_9,iks_26,ics_26,mfi_14,adosc_3_10,kcle_20_2.0,kcbe_20_2.0,kcue_20_2.0,dcl_20_20,dcm_20_20,dcu_20_20,vwap,regime,volatility_status,days_to_weekly_expiry,is_expiry_day_flag,week_expiry_type,is_expiry_day,expiry_type,week_expiry_date
2025-01-23 11:30:00+05:30,23225.65,23232.65,23225.55,23232.4,0.0,23221.364999999998,23223.735,,23223.70539264709,23222.136155910655,23218.742514650083,23215.86119960353,23210.28465627683,,65.57587839909195,16.55054625865069,23202.49491760846,23223.735,23244.975082391542,0.1829170233947413,0.7039775515054408,15.428426526534167,,,0.0,23182.61154982186,1,23182.61154982186,,38.282281662395576,26.276505035795594,14.224924001920241,53.24180015255663,48.24561403508784,59.33234457781244,0.0,,,,23218.2,23174.6,23252.05,,0.0,23177.02535850078,23211.112731369954,23245.200104239128,23188.35,23217.275,23246.2,,trending,normal,,0,unknown,True,weekly,2025-01-23
2025-01-23 11:35:00+05:30,23231.9,23238.6,23230.45,23232.45,0.0,23221.370000000003,23225.192499999997,,23225.454314117673,23223.855129925545,23220.570179363407,23217.812823179585,23212.29968752439,,65.5942734588442,15.86435330487182,23205.845245026758,23225.192499999997,23244.539754973237,0.1666057663310185,0.6875589071948874,15.185861335005029,,,0.0,23190.36210206592,1,23190.36210206592,,37.921819031229965,28.237454058383346,13.627993299544928,62.96720061022237,54.1698449021111,80.5490805490668,0.0,,,,23221.225,23174.6,23253.5,,0.0,23180.751514834043,23213.144852191865,23245.538189549687,23188.35,23217.275,23246.2,,trending,normal,,0,unknown,True,weekly,2025-01-23
2025-01-23 11:40:00+05:30,23231.15,23236.75,23216.4,23221.9,0.0,23222.795000000002,23225.5325,,23224.74345129414,23223.529274937955,23220.74748878162,23218.2936675114,23213.172443203992,,58.49193356366594,16.227040696318653,23206.67380770707,23225.5325,23244.391192292933,0.162396210230544,0.4036916254961859,13.981163691096299,,,0.0,23190.36210206592,1,23190.36210206592,,35.43382893205542,25.374212299356195,19.246879350761038,61.61925210234599,59.276084288374996,-3.9240807216170768,0.0,,,,23221.975,23179.875,23250.75,,0.0,23180.794227706992,23213.97867579264,23247.16312387829,23202.5,23224.35,23246.2,,trending,normal,,0,unknown,True,weekly,2025-01-23
2025-01-23 11:45:00+05:30,23221.55,23227.55,23201.5,23202.75,0.0,23221.879999999997,23224.6875,,23220.344761035314,23220.066062448295,23218.347823610737,23216.465000745353,23212.224948367264,,48.27425747735781,17.01386003651955,23203.481796168257,23224.6875,23245.893203831743,0.1826134696688035,-0.017254701236586723,11.350347432296985,,,0.0,23190.36210206592,1,23190.36210206592,,32.25443941958901,22.262280125999546,23.90122559159297,39.88198209806625,54.82281160354487,-133.71533313310547,0.0,,,,23220.05,23208.225,23250.9,,0.0,23177.923348877754,23212.909278098105,23247.895207318456,23201.5,23223.85,23246.2,,trending,normal,,0,unknown,True,weekly,2025-01-23
2025-01-23 11:50:00+05:30,23201.85,23212.75,23201.05,23205.7,0.0,23221.565000000002,23224.092500000002,,23217.415808828253,23217.671718706915,23216.661447129307,23215.19853006943,23211.631771242966,,49.731037560641184,16.59187887768227,23201.502141990455,23224.092500000002,23246.68285800955,0.1945424391463076,0.09291260474427765,9.395145549395238,,,0.0,23190.36210206592,1,23190.36210206592,,29.51684302777623,21.015634879178787,22.778179806318942,20.97083588116759,40.82402336052662,-148.31804281345657,0.0,,,,23219.824999999997,23214.825,23233.5,,0.0,23178.34017279416,23212.222680184,23246.10518757384,23201.05,23223.625,23246.2,,trending,normal,,0,unknown,True,weekly,2025-01-23
2025-01-23 11:55:00+05:30,23205.25,23223.65,23204.8,23217.6,0.0,23220.475,23223.685,,23217.452647062604,23217.659765589095,23216.786587512066,23215.481055943612,23212.174337493605,,55.210895160891454,16.769779325370713,23200.935470334545,23223.685,23246.434529665457,0.19591662275350416,0.36626097133686003,8.705512785872997,,,0.0,23190.36210206592,1,23190.36210206592,,27.463598043369505,24.275287793747435,20.761054715676018,19.69528010642399,26.849366028552613,-67.53881731089943,0.0,,,,23219.824999999997,23217.275,23232.2,,0.0,23178.488727766144,23212.734805880762,23246.98088399538,23201.05,23223.625,23246.2,,trending,normal,,0,unknown,True,weekly,2025-01-23
2025-01-23 12:00:00+05:30,23217.5,23222.2,23212.25,23214.2,0.0,23219.52,23222.6,,23216.802117650084,23217.083137990914,23216.441709177125,23215.330343479658,23212.35848863055,,53.41912316026295,16.236422273624985,23200.217328130904,23222.6,23244.982671869093,0.19276628688514066,0.3123548419704885,7.794769022020773,-4.81647874814573,12.611247770166504,0.0,23190.36210206592,1,23190.36210206592,,25.646538014027968,23.111845493507246,19.7660391484439,30.298857023125382,23.65499100357232,-55.04401702061047,0.0,,,,23219.824999999997,23217.275,23239.95,,0.0,23179.994563216987,23212.874348177833,23245.75413313868,23201.05,23223.625,23246.2,,trending,normal,,0,unknown,True,weekly,2025-01-23
2025-01-23 12:05:00+05:30,23214.4,23224.85,23214.4,23219.8,0.0,23219.17,23221.57,,23217.401694120068,23217.535948325763,23216.889481286842,23215.85618542323,23213.034989664135,,55.95455948637249,15.802464556543832,23200.714775234977,23221.57,23242.425224765022,0.17961942078009613,0.457564590649509,7.439117708210688,-4.137704049564654,11.576821757775342,0.0,23190.36210206592,1,23190.36210206592,,24.290572502384965,23.20455065883827,18.73123517113455,43.00932090546087,31.001152678336748,-21.899421607981704,0.0,,,,23219.824999999997,23217.275,23240.2,,0.0,23181.75698576775,23213.533934065657,23245.310882363563,23201.05,23223.625,23246.2,,choppy,normal,,0,unknown,True,weekly,2025-01-23
2025-01-23 12:10:00+05:30,23219.05,23233.5,23217.8,23232.75,0.0,23220.475,23221.120000000003,,23220.471355296057,23220.071623604803,23219.004217115264,23217.843693020495,23214.82726333103,,61.212367732678054,15.794554483981672,23201.68594741184,23221.120000000003,23240.554052588166,0.16738256025689946,0.7992170559186601,8.10874567935025,-2.7744608627400744,10.883206542090324,0.0,23190.36210206592,1,23190.36210206592,,23.861627535612033,25.65173726063571,17.29387538146479,56.45805592543578,43.25541128467401,61.60781966885124,0.0,,,,23219.824999999997,23223.625,23226.5,,0.0,23183.622987123203,23215.364035583214,23247.105084043225,23201.05,23222.025,23243.0,,choppy,normal,,0,unknown,True,weekly,2025-01-23
2025-01-23 12:15:00+05:30,23232.1,23254.0,23220.1,23252.95,0.0,23223.25,23222.46,,23226.967084236847,23225.551353004004,23223.530321499897,23221.97384678279,23218.292966664572,,67.69112744579921,17.184243196405912,23198.625789293546,23222.46,23246.294210706452,0.20526861242480532,1.1396268031596055,10.152371631898859,-0.5846679281531735,10.737039560052033,0.0,23190.36210206592,1,23190.36210206592,,24.88943121936175,30.924149402677294,14.675270776936772,77.4570638582005,58.97481356303238,178.4307227806793,0.0,,,,23227.525,23227.525,23224.75,,0.0,23183.768416920993,23218.943651241956,23254.11888556292,23201.05,23227.525,23254.0,,choppy,normal,,0,unknown,True,weekly,2025-01-23
