datetime,open,high,low,close,volume,sma_10,sma_20,sma_50,ema_9,ema_11,ema_14,ema_16,ema_21,ema_50,rsi_14,atr,bbl_20_2.0,bbm_20_2.0,bbu_20_2.0,bbb_20_2.0,bbp_20_2.0,macd_12_26_9,macdh_12_26_9,macds_12_26_9,volume_sma,supert_10_3.0,supertd_10_3.0,supertl_10_3.0,superts_10_3.0,adx_14,dmp_14,dmn_14,stochk_14_3_3,stochd_14_3_3,cci_20_0.015,obv,vwma_20,isa_9,isb_26,its_9,iks_26,ics_26,mfi_14,adosc_3_10,kcle_20_2.0,kcbe_20_2.0,kcue_20_2.0,dcl_20_20,dcm_20_20,dcu_20_20,vwap,regime
2024-10-16 09:45:00+05:30,25078.6,25093.25,25064.25,25071.55,0,25049.91,25053.68,,25055.462870758653,25055.335254983314,25056.320120584074,25057.93137982642,25061.531229023025,,49.88694636364526,37.47229997095858,25018.189150475075,25053.68,25089.170849524926,0.28331845481322965,0.7517550331874798,-10.363520564387727,,,0.0,24972.61086422218,1,24972.61086422218,,25.182159328320886,24.247989785511034,25.37255224127176,66.18318169882116,59.79165223740821,124.85752492753554,0.0,,,,25043.95,25077.35,24831.95,,0.0,24981.987349447365,25061.110486108377,25140.23362276939,24994.65,25043.95,25093.25,,trending
2024-10-16 10:00:00+05:30,25072.0,25072.25,25043.75,25059.5,0,25052.03,25054.2175,,25056.270296606923,25056.029379152762,25056.744104506197,25058.115923376252,25061.346571839113,,47.69191637732668,36.739403700918935,25018.71597503274,25054.2175,25089.719024967257,0.28339759537297754,0.5743982125397863,-9.278280378151976,,,0.0,24972.61086422218,1,24972.61086422218,,23.671855200679595,22.711508681004087,28.322667687130746,79.3836684021488,69.63096417188628,27.884953428645268,0.0,,,,25043.95,25046.15,24838.05,,0.0,24983.94093521428,25060.957106479007,25137.973277743735,24994.65,25043.95,25093.25,,choppy
2024-10-16 10:15:00+05:30,25059.9,25073.85,25036.55,25039.4,0,25051.28,25053.3625,,25052.896237285542,25053.257815960635,25054.431557238706,25055.914050037867,25059.351428944647,,44.198467132275624,36.78473076815967,25017.30277350352,25053.3625,25089.422226496477,0.2878633676136535,0.30639758871491285,-9.92570438747498,,,0.0,24972.61086422218,1,24972.61086422218,,22.66713261557124,20.849444575423398,27.58316180353589,63.049357674103824,69.5387359250246,-17.26273673334629,0.0,,,,25043.95,25046.15,24846.65,,0.0,24982.117989003396,25058.9040487191,25135.690108434806,24994.65,25043.95,25093.25,,choppy
2024-10-16 10:30:00+05:30,25040.35,25054.85,25021.25,25023.6,0,25047.36,25050.3875,,25047.036989828433,25048.314846633864,25050.32068294021,25052.112397092234,25056.101299040587,,41.61778598249888,36.52963373637383,25014.817865829813,25050.3875,25085.95713417019,0.2839847021942298,0.123449880425622,-11.580230840507284,,,0.0,24972.61086422218,1,24972.61086422218,,22.39055228410456,19.313338767443497,28.905835893782143,46.83908045976933,63.090702178673986,-94.94100391846676,0.0,,,,25043.95,25046.15,24822.45,,0.0,24979.668656717356,25055.5417583649,25131.414860012443,24994.65,25043.95,25093.25,,choppy
2024-10-16 10:45:00+05:30,25024.05,25034.55,25012.25,25031.75,0,25046.94,25048.3675,,25043.97959186275,25045.554038861555,25047.844591881516,25049.716820963735,25053.88754458235,,43.45191650288477,35.39963834834342,25013.38711585401,25048.3675,25083.34788414599,0.2793027062221974,0.26247402071619436,-12.094401356807793,,,0.0,24972.61086422218,1,24972.61086422218,,22.47634110315708,18.347184791458965,29.47877013461493,37.45774171737569,49.11539328374962,-119.81307011631753,0.0,,,,25043.95,25046.15,24790.95,,0.0,24980.38116560142,25053.275876615862,25126.170587630306,24994.65,25043.95,25093.25,,choppy
2024-10-16 11:00:00+05:30,25032.85,25039.65,25009.15,25015.1,0,25045.420000000002,25046.2175,,25038.203673490203,25040.47836571796,25043.478646297313,25045.644253791528,25050.36140416577,,40.642770605513604,35.0136325459681,25008.700326932172,25046.2175,25083.734673067825,0.2995835444439997,0.085289915850756,-13.687618697422295,,,0.0,24972.61086422218,1,24972.61086422218,,22.259121405407473,18.235606635148557,27.455742393483224,29.242731575386756,37.846517917510596,-126.87359066188017,0.0,,,,25043.95,25043.95,24780.8,,0.0,24977.878197448903,25049.640078842924,25121.401960236944,24994.65,25043.95,25093.25,,choppy
2024-10-16 11:15:00+05:30,25014.2,25016.5,24957.45,24959.2,0,25036.075,25040.75,,25022.402938792166,25026.931971431637,25032.241493457674,25035.47434158076,25042.074003787064,,32.94252616022413,36.893453793595285,24988.76322283502,25040.75,25092.73677716498,0.41521741293675785,-0.2843340599975978,-19.23914090220569,-6.405064041818454,-12.834076860387237,0.0,25099.035090569992,-1,,25099.035090569992,23.654318591441406,15.952960855407733,34.97841901417757,19.885266584414314,28.861913292392256,-267.7621056695365,0.0,,,,25025.35,25025.35,24779.45,,0.0,24964.85170245377,25041.02673800074,25117.20177354771,24957.45,25025.35,25093.25,,choppy
2024-10-16 11:30:00+05:30,24958.75,24968.7,24930.75,24935.9,0,25023.15,25034.605000000003,,25005.102351033733,25011.759976193032,25019.39596099665,25023.759713159496,25032.421821624604,,30.36050940183884,36.97552714166404,24966.157027787514,25034.605000000003,25103.052972212492,0.5468268599603534,-0.22102209027890174,-25.22806410080011,-9.915189792330299,-15.312874308469812,0.0,25061.969202179538,-1,,25061.969202179538,25.50064657660048,14.68106263177923,37.798982605219095,8.39941855820178,19.175805572667617,-297.2704082324007,0.0,,,,25012.0,25012.0,24781.05,,0.0,24954.8658260296,25031.014667714953,25107.163509400307,24930.75,25012.0,25093.25,,trending
2024-10-16 11:45:00+05:30,24937.05,24958.6,24908.95,24956.85,0,25017.159999999996,25031.18,,24995.451880826986,25002.608313494195,25011.05649953043,25015.887982199554,25025.551656022366,,35.27298626130555,37.95397279525302,24954.823995651936,25031.18,25107.536004348065,0.6100871341108549,0.013266830587595741,-27.961516018775,-10.11891336824415,-17.84260265053085,0.0,25049.784021237076,-1,,25049.784021237076,27.575322461845428,13.198454748653118,38.41585319862326,10.149374626097305,12.8113532562378,-228.4707985070781,0.0,,,,25001.1,25001.1,24778.45,,0.0,24945.59765212202,25023.951366027813,25102.30507993361,24908.95,25001.1,25093.25,,trending
2024-10-16 12:00:00+05:30,24956.8,24962.5,24937.5,24948.05,0,25004.09,25026.625,,24985.97150466159,24993.515261245164,25002.655632926373,25007.90704311725,25018.506050929424,,34.18222771803949,36.9596868629524,24942.26468646335,25026.625,25110.98531353665,0.6741645230761256,0.034289307934684606,-30.486453948600683,-10.115081038455866,-20.371372910144817,0.0,25049.784021237076,-1,,25049.784021237076,29.221788245047275,13.323138773804835,36.42136935379716,16.791624580880935,11.780139255060007,-165.00551376333934,0.0,,,,24991.4,25001.1,24790.2,,0.0,24941.069304300872,25016.722664501354,25092.376024701836,24908.95,25001.1,25093.25,,trending
