datetime,open,high,low,close,volume,ema_9,ema_14,ema_21,ema_50,sma_10,sma_20,sma_50,sma_200,macd,macd_signal,macd_hist,rsi,stochastic_k,stochastic_d,bollinger_lower,bollinger_mid,bollinger_upper,bollinger_bandwidth,bollinger_pctb,atr,atr_sma_5,obv,obv_ema,vwap,vwma_20,vol_ma_50,vol_ma,plus_di,minus_di,adx,SUPERT_10_3.0,SUPERTd_10_3.0,SUPERTl_10_3.0,SUPERTs_10_3.0,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26,MFI_14,chaikin_osc_3_10,KCLe_20_1.5,KCBe_20_1.5,KCUe_20_1.5,CCI_20,DCL_20_20,DCM_20_20,DCU_20_20
2025-02-04 09:15:00+05:30,23509.9,23514.35,23479.45,23502.7,0,23386.04533,23373.57063,23362.74866,23346.28502,23369.75488,23358.20508,23325.26105,23422.57208,20.62463557,12.1256328,8.499002771,80.27525986,68.56210588,61.78366426,23287.95378,23358.20508,23428.45637,0.601512779,1.5284091,28.29263121,21.15398015,0,0,,,0,0,52.68354124,11.77564935,18.18827262,23402.47659,1,23402.47659,,23312.3374,23360.875,23420.6748,23410.34961,23540.75,0,0,23317.67402,23364.05088,23410.42775,-68293.27148,23316.80078,23415.5752,23514.34961
2025-02-04 09:20:00+05:30,23501.5,23534.2,23501.5,23522.3,0,23413.29642,23393.40132,23377.2534,23353.18759,23388.81992,23368.04258,23329.89707,23423.16634,30.62754803,15.82601585,14.80153219,81.75326458,82.64268909,69.13368759,23269.4507,23368.04258,23466.63445,0.843818012,1.282306865,28.60738746,22.86443804,0,0,,,0,0,53.33834288,10.81422303,21.62381901,23423.06018,1,23423.06018,,23312.3374,23295.5498,23436.39941,23420.27441,23529.2,0,0,23332.49097,23379.1223,23425.75364,-30438.3661,23324.34961,23429.27441,23534.19922
2025-02-04 09:25:00+05:30,23522.45,23534.25,23507.8,23514.35,0,23433.50706,23409.52776,23389.71669,23359.50767,23406.30996,23377.13252,23334.46008,23423.71384,37.48127431,20.15706754,17.32420677,79.16203083,92.81228042,81.33902513,23261.29183,23377.13252,23492.97321,0.991059889,1.092266361,28.45323255,24.58625831,0,0,,,0,0,49.80954631,10.09618322,24.81448169,23427.78014,1,23427.78014,,23313.6123,23295.5498,23441.8252,23420.2998,23542.15,0,0,23346.03238,23392.00109,23437.96981,-14797.65842,23327,23430.625,23534.25
2025-02-04 09:30:00+05:30,23514.1,23520.85,23482.7,23510.6,0,23448.92557,23423.004,23400.70605,23365.43285,23421.86484,23385.45996,23339.25406,23424.26658,42.12472054,24.55059814,17.5741224,77.90782908,91.08128108,88.84541686,23257.06411,23385.45996,23513.85581,1.098082708,0.987319693,29.1458867,26.6143883,0,0,,,0,0,45.15254599,15.30393331,26.56859483,23427.78014,1,23427.78014,,23316.91211,23295.5498,23442.09961,23420.2998,23557.05,0,0,23356.25539,23403.29619,23450.33699,-7547.262603,23327,23430.625,23534.25
2025-02-04 09:35:00+05:30,23511.25,23556.55,23507.4,23550.65,0,23469.27053,23440.02352,23414.33735,23372.69628,23441.59492,23395.6625,23344.86105,23425.02033,48.47762854,29.33600422,19.14162432,81.31310314,92.13864883,92.01073678,23249.97559,23395.6625,23541.34941,1.245418136,1.03192112,30.57477984,29.01478355,0,0,,,0,0,48.30839611,13.54666262,28.68503029,23431.40219,1,23431.40219,,23325.78711,23295.5498,23453.25,23431.4502,23540.2,0,0,23367.74772,23417.32992,23466.91213,-2134.376868,23327,23441.77539,23556.55078
2025-02-04 09:40:00+05:30,23551.3,23573.75,23550.7,23572.4,0,23489.8965,23457.67377,23428.70672,23380.52781,23461.29492,23406.80752,23350.73207,23425.80458,54.63756924,34.39631722,20.24125202,82.85835451,95.15703695,92.79232229,23243.86921,23406.80752,23569.74583,1.392230067,1.008145921,30.04083909,29.36442513,0,0,,,0,0,49.74457626,12.80262164,30.85485137,23464.77779,1,23464.77779,,23325.6499,23295.5498,23461.84961,23440.0498,23598.1,0,0,23383.9385,23432.09854,23480.25858,1703.68673,23327,23450.375,23573.75
2025-02-04 09:45:00+05:30,23572.2,23582,23556.05,23569.45,0,23505.80705,23472.57716,23441.50149,23387.9365,23481.5498,23417.72246,23356.61805,23426.52933,58.60566213,39.2381862,19.36747592,81.86911384,97.24206799,94.84591792,23242.38487,23417.72246,23593.06005,1.497477701,0.932670374,29.7485805,29.59266374,0,0,,,0,0,48.62607657,12.00494125,32.96521919,23473.53849,1,23473.53849,,23325.6499,23295.5498,23465.97461,23449.40039,23565.15,0,0,23397.89916,23445.17956,23492.45995,4064.255221,23327,23454.5,23582
2025-02-04 09:50:00+05:30,23569.05,23575.35,23554.45,23561.6,0,23516.96556,23484.44682,23452.4195,23394.74681,23501.91484,23427.7499,23362.22305,23427.17957,60.42051635,43.47465223,16.94586412,79.16191487,95.17533585,95.85814693,23243.79648,23427.7499,23611.70332,1.57038916,0.863814125,29.11656693,29.72533061,0,0,,,0,0,46.13288626,11.78230975,34.84712168,23473.53849,1,23473.53849,,23324.0249,23295.5498,23465.97461,23453.1748,23546.25,0,0,23410.50391,23456.26718,23502.03045,5523.340965,23327,23454.5,23582
2025-02-04 09:55:00+05:30,23561.8,23567.6,23555.3,23557.95,0,23525.16229,23494.24714,23462.01311,23401.14691,23522.16973,23437.88984,23367.45805,23427.84007,60.86265854,46.95225349,13.91040504,77.87230282,91.90283809,94.77341398,23248.77659,23437.88984,23627.0031,1.613739586,0.817427184,27.91529988,29.47921325,0,0,,,0,0,44.68109551,11.41152332,36.59460256,23474.77207,1,23474.77207,,23324.0249,23295.5498,23530.72461,23454.5,23553.35,0,0,23422.78934,23465.95118,23509.11302,6315.445756,23327,23454.5,23582
2025-02-04 10:00:00+05:30,23557.75,23573.35,23542.85,23550.2,0,23530.16968,23501.70742,23470.03003,23406.9921,23541.21973,23447.94482,23372.49504,23428.41281,59.89724107,49.54125101,10.35599006,75.07595803,89.05357164,92.04391519,23257.4052,23447.94482,23638.48445,1.625213894,0.768328419,28.09992131,28.98424154,0,0,,,0,0,41.21699478,13.69181879,37.56133702,23474.77207,1,23474.77207,,23324.0249,23302.1748,23532.34961,23454.5,23549.9,0,0,23430.56647,23473.97481,23517.38314,6628.887161,23327,23454.5,23582
